parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
z334,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z335,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z336,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z337,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z338,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z339,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z340,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z341,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z342,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z343,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z344,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z345,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z346,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z347,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z348,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z349,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z350,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z351,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z352,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z353,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z354,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z355,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z356,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z357,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z358,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z359,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z360,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z361,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z362,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z363,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z364,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z365,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z366,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z367,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z368,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z369,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z370,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z371,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z372,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z373,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z374,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z375,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z376,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z377,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z378,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z379,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z380,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z381,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z382,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z383,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z384,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z385,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z386,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z387,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z388,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z389,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
