name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
C_MW6_007,-0.0063794,1.90915e-17,-0.0063794,-0.0063794,-0.0063794,-0.0063794,6.48713e-05,0.000180146,5.21636e-07,0.00292428,0.000245017,-0.000115275,0.00637992
C_MW6_008,-0.0019011,7.59321e-18,-0.0019011,-0.0019011,-0.0019011,-0.0019011,0.000140884,0.00036507,1.17803e-06,0.0057451,0.000505954,-0.000224186,0.00190228
C_MW6_009,-0.0075165,2.08271e-17,-0.0075165,-0.0075165,-0.0075165,-0.0075165,0.000281825,0.000674628,2.19867e-06,0.010263,0.000956453,-0.000392803,0.0075187
C_MW6_015,-0.002191,2.60339e-18,-0.002191,-0.002191,-0.002191,-0.002191,0.00530738,0.00733929,7.28486e-05,0.0890015,0.0126467,-0.00203191,0.00226385
C_MW6_018,-0.0004785,2.7661e-18,-0.0004785,-0.0004785,-0.0004785,-0.0004785,0.013664,0.0143998,0.000286075,0.158293,0.0280638,-0.000735886,0.000764575
C_MW6_019,-0.0045663,1.99593e-17,-0.0045663,-0.0045663,-0.0045663,-0.0045663,0.0177769,0.0171823,0.000430436,0.183728,0.0349591,0.000594569,0.00499674
C_MW7_001,0.01278,6.94237e-17,0.01278,0.01278,0.01278,0.01278,5.0136e-06,5.76789e-06,2.15715e-07,0.000158501,1.07815e-05,-7.54291e-07,0.0126215
C_MW7_003,-0.015502,3.99186e-17,-0.015502,-0.015502,-0.015502,-0.015502,0.000260198,0.000234738,1.42829e-05,0.00591808,0.000494937,2.54604e-05,0.0155163
C_MW8_001,0.018394,4.16542e-17,0.018394,0.018394,0.018394,0.018394,3.7856e-26,1.03054e-24,-3.10982e-29,3.21873e-23,1.0684e-24,-9.92684e-25,0.018394
C_MW8_002,-0.0095454,4.51254e-17,-0.0095454,-0.0095454,-0.0095454,-0.0095454,3.35555e-25,8.61285e-24,-3.64542e-35,2.68347e-22,8.94841e-24,-8.2773e-24,0.0095454
C_MW8_003,-0.0019548,7.81016e-18,-0.0019548,-0.0019548,-0.0019548,-0.0019548,1.63562e-24,4.00481e-23,-1.29085e-34,1.24458e-21,4.16837e-23,-3.84125e-23,0.0019548
C_MW8_004,-0.0062119,1.04135e-17,-0.0062119,-0.0062119,-0.0062119,-0.0062119,5.55541e-24,1.29801e-22,-4.05229e-36,4.02033e-21,1.35356e-22,-1.24245e-22,0.0062119
C_MW8_005,0.0005386,1.95254e-18,0.0005386,0.0005386,0.0005386,0.0005386,1.40853e-23,3.11136e-22,-1.371e-29,9.58797e-21,3.25222e-22,-2.97051e-22,0.0005386
C_MW8_006,-0.0034816,1.86576e-17,-0.0034816,-0.0034816,-0.0034816,-0.0034816,2.854e-23,5.86951e-22,-4.59455e-28,1.79272e-20,6.15491e-22,-5.58411e-22,0.0034816
C_MW8_007,0.0026195,2.60339e-18,0.0026195,0.0026195,0.0026195,0.0026195,4.59514e-23,8.45477e-22,-9.95231e-27,2.52987e-20,8.91428e-22,-7.99525e-22,0.0026195
C_MW8_008,0.018152,2.08271e-17,0.018152,0.018152,0.018152,0.018152,4.50688e-23,5.68536e-22,-3.90831e-23,1.36671e-20,6.13605e-22,-5.23468e-22,0.018152
C_MW8_009,-0.0070196,5.20677e-18,-0.0070196,-0.0070196,-0.0070196,-0.0070196,-3.65833e-23,2.07171e-21,-6.43271e-20,6.63169e-21,2.03512e-21,-2.10829e-21,0.0070196
C_MW8_010,0.0073567,4.51254e-17,0.0073567,0.0073567,0.0073567,0.0073567,-3.2839e-22,9.62649e-21,-3.01278e-19,4.02131e-21,9.2981e-21,-9.95488e-21,0.0073567
C_MW8_011,-0.0096254,2.95051e-17,-0.0096254,-0.0096254,-0.0096254,-0.0096254,-1.05654e-21,2.68587e-20,-8.37194e-19,1.9868e-21,2.58022e-20,-2.79153e-20,0.0096254
C_MW8_012,-0.012814,6.76881e-17,-0.012814,-0.012814,-0.012814,-0.012814,-2.74527e-21,6.44525e-20,-1.99891e-18,1.70262e-23,6.17072e-20,-6.71977e-20,0.012814
C_MW8_013,0.010056,3.12406e-17,0.010056,0.010056,0.010056,0.010056,-6.13406e-21,1.35123e-19,-4.1631e-18,2.8114e-23,1.28989e-19,-1.41257e-19,0.010056
C_MW8_014,-0.0013574,4.77288e-18,-0.0013574,-0.0013574,-0.0013574,-0.0013574,-1.26249e-20,2.67239e-19,-8.19588e-18,6.2899e-23,2.54614e-19,-2.79864e-19,0.0013574
C_MW8_015,0.0007072,2.06101e-18,0.0007072,0.0007072,0.0007072,0.0007072,-2.21576e-20,4.35463e-19,-1.32011e-17,1.37466e-22,4.13305e-19,-4.5762e-19,0.0007072
C_MW8_016,0.014373,2.42983e-17,0.014373,0.014373,0.014373,0.014373,-3.74879e-20,6.93074e-19,-2.07434e-17,2.91276e-22,6.55586e-19,-7.30562e-19,0.014373
C_MW8_017,-0.013186,3.64474e-17,-0.013186,-0.013186,-0.013186,-0.013186,-6.03002e-20,1.05976e-18,-3.13888e-17,5.95448e-22,9.99465e-19,-1.12007e-18,0.013186
C_MW8_018,0.0007637,3.14576e-18,0.0007637,0.0007637,0.0007637,0.0007637,-9.46278e-20,1.60421e-18,-4.72383e-17,1.17554e-21,1.50959e-18,-1.69884e-18,0.0007637
C_MW8_019,0.014557,4.6861e-17,0.014557,0.014557,0.014557,0.014557,-1.47168e-19,2.47437e-18,-7.31992e-17,2.25545e-21,2.3272e-18,-2.62154e-18,0.014557
C_MW8_020,-0.010209,1.73559e-18,-0.010209,-0.010209,-0.010209,-0.010209,-2.11887e-19,3.41278e-18,-1.00222e-16,6.5028e-20,3.20089e-18,-3.62467e-18,0.010209
C_MW8_021,0.0025925,5.20677e-18,0.0025925,0.0025925,0.0025925,0.0025925,-2.90485e-19,4.37761e-18,-1.26072e-16,2.24819e-19,4.08712e-18,-4.66809e-18,0.0025925
C_MW8_022,0.0092315,8.67796e-18,0.0092315,0.0092315,0.0092315,0.0092315,-3.78989e-19,5.20287e-18,-1.45413e-16,5.55427e-19,4.82388e-18,-5.58185e-18,0.0092315
C_MW8_023,0.0092485,2.08271e-17,0.0092485,0.0092485,0.0092485,0.0092485,-4.73696e-19,5.79165e-18,-1.57337e-16,1.18963e-18,5.31796e-18,-6.26535e-18,0.0092485
C_MW8_024,0.0067213,1.21491e-17,0.0067213,0.0067213,0.0067213,0.0067213,-5.88693e-19,6.24755e-18,-1.57485e-16,2.37844e-18,5.65885e-18,-6.83624e-18,0.0067213
C_MW8_025,0.0097227,3.99186e-17,0.0097227,0.0097227,0.0097227,0.0097227,-7.10974e-19,6.34405e-18,-1.26884e-16,4.51881e-18,5.63308e-18,-7.05503e-18,0.0097227
C_MW8_026,0.0048437,2.60339e-18,0.0048437,0.0048437,0.0048437,0.0048437,-7.77928e-19,6.79408e-18,-1.75806e-16,8.19972e-18,6.01615e-18,-7.57201e-18,0.0048437
C_MW8_027,0.0078541,5.38033e-17,0.0078541,0.0078541,0.0078541,0.0078541,-6.98945e-19,1.31761e-17,-2.3281e-16,3.03397e-16,1.24772e-17,-1.38751e-17,0.0078541
C_MW8_028,0.0038691,1.77898e-17,0.0038691,0.0038691,0.0038691,0.0038691,-2.96582e-19,3.37991e-17,-3.26272e-16,9.86715e-16,3.35025e-17,-3.40957e-17,0.0038691
C_MW8_029,-0.0088904,1.73559e-17,-0.0088904,-0.0088904,-0.0088904,-0.0088904,8.56092e-19,8.10998e-17,-4.81822e-16,2.4808e-15,8.19559e-17,-8.02437e-17,0.0088904
C_MW8_030,0.0011764,2.16949e-19,0.0011764,0.0011764,0.0011764,0.0011764,3.19389e-18,1.66259e-16,-6.8525e-16,5.15314e-15,1.69453e-16,-1.63065e-16,0.0011764
C_MW8_031,-0.0010429,6.50847e-18,-0.0010429,-0.0010429,-0.0010429,-0.0010429,7.38523e-18,3.09604e-16,-9.4001e-16,9.64589e-15,3.16989e-16,-3.02218e-16,0.0010429
C_MW8_032,0.011328,6.07457e-17,0.011328,0.011328,0.011328,0.011328,1.47382e-17,5.46306e-16,-1.1457e-15,1.70712e-14,5.61044e-16,-5.31568e-16,0.011328
C_MW8_033,0.0051196,5.20677e-18,0.0051196,0.0051196,0.0051196,0.0051196,2.70556e-17,9.29517e-16,-1.30879e-15,2.90888e-14,9.56573e-16,-9.02462e-16,0.0051196
C_MW8_034,0.0052098,1.73559e-17,0.0052098,0.0052098,0.0052098,0.0052098,4.70802e-17,1.53852e-15,-1.36026e-15,4.81825e-14,1.5856e-15,-1.49144e-15,0.0052098
C_MW8_035,0.0019616,5.20677e-18,0.0019616,0.0019616,0.0019616,0.0019616,7.86586e-17,2.4856e-15,-1.27839e-15,7.78681e-14,2.56426e-15,-2.40694e-15,0.0019616
C_MW8_036,0.0066409,3.55796e-17,0.0066409,0.0066409,0.0066409,0.0066409,1.27528e-16,3.93814e-15,-9.97571e-16,1.23389e-13,4.06566e-15,-3.81061e-15,0.0066409
C_MW8_037,-0.0052853,1.04135e-17,-0.0052853,-0.0052853,-0.0052853,-0.0052853,2.0222e-16,6.147e-15,-5.19922e-16,1.92605e-13,6.34922e-15,-5.94478e-15,0.0052853
C_MW8_038,0.0028742,1.12813e-17,0.0028742,0.0028742,0.0028742,0.0028742,3.1582e-16,9.49241e-15,-3.00411e-16,2.97429e-13,9.80823e-15,-9.17659e-15,0.0028742
C_MW8_039,-0.0066448,3.47118e-17,-0.0066448,-0.0066448,-0.0066448,-0.0066448,4.85576e-16,1.44657e-14,-3.12558e-16,4.53254e-13,1.49512e-14,-1.39801e-14,0.0066448
C_MW8_040,-0.0033342,1.43186e-17,-0.0033342,-0.0033342,-0.0033342,-0.0033342,7.45439e-16,2.20276e-14,-3.23755e-16,6.90178e-13,2.27731e-14,-2.12822e-14,0.0033342
C_MW8_041,-0.01092,3.12406e-17,-0.01092,-0.01092,-0.01092,-0.01092,1.1436e-15,3.36246e-14,-3.34159e-16,1.05352e-12,3.47682e-14,-3.2481e-14,0.01092
C_MW8_042,0.02215,2.08271e-17,0.02215,0.02215,0.02215,0.02215,1.75869e-15,5.15384e-14,-3.29175e-16,1.61475e-12,5.32971e-14,-4.97797e-14,0.02215
C_MW8_043,0.0061431,1.73559e-17,0.0061431,0.0061431,0.0061431,0.0061431,2.71313e-15,7.93649e-14,-2.93038e-16,2.48655e-12,8.2078e-14,-7.66518e-14,0.0061431
C_MW8_044,-0.0092928,2.25627e-17,-0.0092928,-0.0092928,-0.0092928,-0.0092928,4.19706e-15,1.2271e-13,-1.81999e-16,3.84454e-12,1.26907e-13,-1.18512e-13,0.0092928
C_MW8_045,-0.0035366,5.64067e-18,-0.0035366,-0.0035366,-0.0035366,-0.0035366,6.50547e-15,1.90273e-13,-1.36296e-16,5.96135e-12,1.96779e-13,-1.83768e-13,0.0035366
C_MW8_046,0.0035142,1.56203e-17,0.0035142,0.0035142,0.0035142,0.0035142,1.00957e-14,2.95577e-13,-1.30081e-16,9.26059e-12,3.05673e-13,-2.85481e-13,0.0035142
C_MW8_047,-0.0042648,1.82237e-17,-0.0042648,-0.0042648,-0.0042648,-0.0042648,1.56567e-14,4.59176e-13,-1.15494e-16,1.43864e-11,4.74833e-13,-4.43519e-13,0.0042648
C_MW8_048,0.0074805,1.21491e-17,0.0074805,0.0074805,0.0074805,0.0074805,2.4241e-14,7.12349e-13,-8.91095e-17,2.23188e-11,7.3659e-13,-6.88108e-13,0.0074805
C_MW8_049,0.0045123,6.07457e-18,0.0045123,0.0045123,0.0045123,0.0045123,3.73937e-14,1.10122e-12,-4.22821e-17,3.45031e-11,1.13862e-12,-1.06383e-12,0.0045123
C_MW8_050,0.011482,5.20677e-18,0.011482,0.011482,0.011482,0.011482,5.74455e-14,1.69532e-12,-3.75713e-17,5.31178e-11,1.75277e-12,-1.63788e-12,0.011482
C_MW8_051,-0.027879,1.7703e-16,-0.027879,-0.027879,-0.027879,-0.027879,8.78307e-14,2.59729e-12,-2.96309e-17,8.13793e-11,2.68512e-12,-2.50946e-12,0.027879
C_MW8_052,0.007607,3.3844e-17,0.007607,0.007607,0.007607,0.007607,1.33735e-13,3.96189e-12,-1.52726e-17,1.24137e-10,4.09563e-12,-3.82816e-12,0.007607
C_MW8_053,0.0024594,6.50847e-18,0.0024594,0.0024594,0.0024594,0.0024594,2.0242e-13,6.00585e-12,-2.93099e-18,1.8818e-10,6.20827e-12,-5.80343e-12,0.0024594
